!case,User Unique ID,n_favorited,n_diversity,n_genres,Read an average of...,Age,Gender,State,Education level,Civil status,Racial identity,Average income,Q1. The app provided some really good recommendations. ,Q2. The items recommended to me are diverse. ,Q3. I am eager to read the book(s) I have put on the reading list ,Q4. The recommendations helped me discover new books which I find interesting. ,Q5: The amount of information available was sufficient to make the decisions ,Q6: I was surprised by some of the recommendations ,Q7. Finding books to put on my reading list was easy ,Q8: My overall satisfaction with my selection of books on my reading list is high ,Q9: The items recommended to me matched my interests. ,Q10. I understood why the items were recommended to me. ,Q11. My overall satisfaction with the app is high. ,"Q12. I like the app, and I would use it again in the future.",wo
case 279,b2f36a9b-4322-4260-abbc-ac9a989c329a,1,0,3,20 to 50 books in a year,26 - 29 anos,Feminino,São Paulo,Ensino médio completo,União Estável,Branca,"De R$ 813,00 a R$ 1.805,00",5,5,4,5,5,4,4,5,4,4,5,5,
case 338,da3b3cc0-6047-4754-a4ac-a4582197bd81,1,0,2,20 to 50 books in a year,22 - 25 anos,Feminino,Distrito Federal,Pós-graduação completa,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",5,4,5,5,4,4,5,5,5,5,5,4,
case 314,c577bc43-459e-430d-b9a0-aa12ecbc2fc0,1,0,4,50 to 100 books in a year,Mais de 40 anos,Feminino,São Paulo,Ensino médio completo,Outro,Preta,Prefiro não declarar,2,2,2,2,2,2,1,2,2,2,2,2,Poderia de compôs para comentários e recomendação pessoais 
case 102,44967ef7-62d6-4cff-834c-f080495c66e2,1,0,3,50 to 100 books in a year,30 - 33 anos,Feminino,Rio Grande do Norte,Ensino médio completo,Solteiro(a),Preta,"De R$ 1.805,00 a R$ 3.042,00",5,4,5,5,5,5,5,5,4,5,5,5,"Seria legal específicar a quantidade de páginas do livro, eu particularmente não gosto de livros com menos de 150 páginas. Então seria ( para mim) bem legal contar com essa opção."
case 218,89844794-506c-466e-ae77-4ed430444ca1,1,0,2,6 to 20 books in a year,30 - 33 anos,Feminino,Minas Gerais,Superior incompleto,União Estável,Branca,"De R$ 813,00 a R$ 1.805,00",2,3,2,1,4,1,2,2,1,1,3,4,
case 348,e05e29a5-fd25-4514-b4f7-2b32cb9ff382,1,0,2,6 to 20 books in a year,18 - 21 anos,Feminino,Goiás,Superior incompleto,Solteiro(a),Preta,"De R$ 1.805,00 a R$ 3.042,00",4,5,5,5,5,5,5,2,1,1,4,3,
case 001,00372c44-3a8c-4ac4-ae19-096d577c859e,1,0,3,6 to 20 books in a year,22 - 25 anos,Feminino,São Paulo,Ensino médio completo,Solteiro(a),Parda,"De R$ 1.805,00 a R$ 3.042,00",4,5,5,5,3,3,3,3,5,5,5,5,
case 221,8c9f4d04-246a-49e5-b4c0-1d7e04829c74,1,0,2,More than 100 books in a year,30 - 33 anos,Feminino,Minas Gerais,Ensino médio completo,Casado(a),Parda,"De R$ 3.042,00 a R$ 5.449,00",4,5,4,5,4,5,4,4,4,5,5,5,
case 339,dbb5d47d-3ac7-4403-b657-407ed464c39d,1,0,2,More than 100 books in a year,22 - 25 anos,Feminino,Goiás,Superior completo,Casado(a),Amarela,"De R$ 1.805,00 a R$ 3.042,00",5,5,5,5,5,5,5,5,5,5,5,5,
case 047,28062e92-81dd-416d-8f0e-92c778915b74,2,0,1,20 to 50 books in a year,22 - 25 anos,Feminino,Rio de Janeiro,Superior incompleto,Solteiro(a),Branca,"Até R$ 813,00",3,5,4,4,3,4,5,3,3,4,4,5,
