!case,User Unique ID,n_favorited,n_diversity,n_genres,Read an average of...,Age,Gender,State,Education level,Civil status,Racial identity,Average income,Q1. The app provided some really good recommendations. ,Q2. The items recommended to me are diverse. ,Q3. I am eager to read the book(s) I have put on the reading list ,Q4. The recommendations helped me discover new books which I find interesting. ,Q5: The amount of information available was sufficient to make the decisions ,Q6: I was surprised by some of the recommendations ,Q7. Finding books to put on my reading list was easy ,Q8: My overall satisfaction with my selection of books on my reading list is high ,Q9: The items recommended to me matched my interests. ,Q10. I understood why the items were recommended to me. ,Q11. My overall satisfaction with the app is high. ,"Q12. I like the app, and I would use it again in the future.",Open feedback
case 001,18f8c488-7faf-4031-b64f-180eba1db0bf,2,0,4,50 to 100 books in a year,26 - 29 anos,Feminino,Amazonas,Pós-graduação incompleta,União Estável,Preta,"De R$ 813,00 a R$ 1.805,00",4,5,4,5,1,2,1,1,4,4,2,1,Poucas recomendações.  Deveria ter mais opções 
case 002,77cf6627-95f8-418a-a10a-cabd4dfb5e78,3,0,3,More than 100 books in a year,30 - 33 anos,Feminino,São Paulo,Pós-graduação completa,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",4,4,5,4,2,1,1,1,4,4,2,4,
case 003,32a66015-4b08-46ef-8ebb-fef860b08d18,5,0,3,More than 100 books in a year,30 - 33 anos,Feminino,São Paulo,Superior completo,Solteiro(a),Branca,Prefiro não declarar,4,4,4,2,2,3,3,2,4,3,2,4,Gostaria de mais opções de recomendação. 
case 004,3a67d866-7735-415d-8774-671075037653,2,0,1,20 to 50 books in a year,26 - 29 anos,Feminino,Minas Gerais,Ensino médio completo,Casado(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",2,3,3,2,1,2,3,2,1,3,3,3,
case 005,55eb3ac7-cfac-4849-adf0-90722e1cf1d1,5,0,3,20 to 50 books in a year,18 - 21 anos,Feminino,São Paulo,Superior completo,Solteiro(a),Branca,"De R$ 5.449,00 a R$ 10.427,00",2,4,3,1,4,1,1,2,2,1,3,3,"Achei que os livros recomendados não estavam dentro dos gêneros que escolhi ( escolhi romance, fantasia e infanti-juvenil e me foram recomendos livros de terror e suspense)"
case 006,5f8c8ec1-a570-409f-b806-d6899519ebce,5,0,3,50 to 100 books in a year,18 - 21 anos,Feminino,Paraná,Superior incompleto,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",4,5,5,1,4,5,5,2,5,4,5,5,
case 007,7572f905-ef7a-4f47-b6ff-d3804e3a844e,5,0,4,More than 100 books in a year,18 - 21 anos,Feminino,Rio de Janeiro,Superior incompleto,Solteiro(a),Preta,"Até R$ 813,00",3,2,4,3,1,4,2,2,4,4,4,4,
case 008,ba0689ab-28e6-45b6-87d2-669e685682a0,5,0,3,6 to 20 books in a year,22 - 25 anos,Feminino,Paraná,Superior incompleto,Solteiro(a),Branca,"De R$ 813,00 a R$ 1.805,00",2,3,2,3,4,3,2,2,1,2,3,3,
case 009,fe98b20b-9680-475d-93ce-48ddaea9c1e5,5,0,2,More than 100 books in a year,18 - 21 anos,Feminino,São Paulo,Ensino médio completo,Solteiro(a),Parda,"De R$ 1.805,00 a R$ 3.042,00",2,4,1,2,5,4,3,2,2,1,3,3,
case 010,2b6e9f88-3a76-4a2e-93a9-107aae402301,2,0,1,6 to 20 books in a year,Mais de 40 anos,Feminino,Rio Grande do Sul,Superior completo,Casado(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",3,3,3,3,3,3,3,3,3,3,3,3,
