decision_time_control,book_position_control,decision_time_treatment,book_position_treatment
0,8,0,3
0,14,0,1
0,2,0,2
0,3,0,2
0,2,0,13
0,8,0,2
1,4,0,4
1,8,0,0
1,14,0,2
3,0,3,0
3,0,3,0
3,0,4,0
3,0,4,0
3,0,4,0
3,0,4,0
3,0,4,0
3,0,4,0
3,0,4,1
3,0,5,1
3,0,5,0
4,0,5,2
4,0,5,0
4,0,5,1
4,0,6,1
4,0,6,0
4,0,6,2
4,0,6,0
4,0,6,0
4,0,6,1
4,0,6,0
4,0,6,14
4,0,6,0
4,0,6,1
4,0,6,1
4,0,6,0
4,0,6,0
4,0,6,1
4,0,7,2
4,0,7,1
4,0,7,0
4,0,7,0
4,0,7,0
4,0,7,3
4,0,7,0
4,0,7,2
4,0,7,0
4,2,7,0
5,0,7,0
5,0,7,2
5,0,7,2
5,0,7,1
5,1,7,1
5,0,7,0
5,0,8,0
5,1,8,0
5,0,8,3
5,1,8,1
5,0,8,4
5,1,8,0
5,0,8,3
5,1,8,2
5,1,8,3
5,2,8,1
5,1,8,0
5,0,8,2
5,0,8,1
5,0,8,1
5,0,9,0
5,0,9,4
6,2,9,1
6,0,9,2
6,0,9,2
6,1,9,1
6,2,9,0
6,0,9,2
6,2,9,0
6,0,9,0
6,2,9,1
6,0,9,2
6,8,9,2
6,3,9,1
6,2,9,3
6,0,9,0
6,1,9,4
6,0,9,0
6,0,10,0
6,0,10,6
6,0,10,4
7,0,10,2
7,2,10,5
7,0,10,2
7,3,10,1
7,1,10,2
7,2,10,0
7,0,10,2
7,4,10,6
7,6,10,2
7,0,10,3
7,2,11,2
7,3,11,3
7,2,11,6
7,2,11,1
7,0,11,0
7,3,11,4
7,0,11,5
7,2,11,9
7,1,11,5
7,0,11,4
7,1,11,2
7,2,11,3
7,2,11,2
7,4,11,0
7,4,11,1
7,4,12,2
7,2,12,3
7,4,12,2
7,1,12,6
8,2,12,4
8,4,12,7
8,4,12,6
8,4,12,6
8,2,12,3
8,0,12,2
8,3,12,3
8,2,12,2
8,2,12,0
8,4,12,6
8,2,12,7
8,1,12,4
8,1,12,2
8,0,12,0
8,1,12,5
8,2,12,4
8,0,12,3
8,7,12,0
8,3,12,3
8,4,12,0
8,2,12,2
8,3,13,0
8,2,13,1
8,0,13,3
8,2,13,4
8,2,13,2
8,0,13,0
8,1,13,4
8,0,13,2
9,2,13,2
9,1,13,8
9,2,13,3
9,1,13,2
9,2,13,2
9,3,13,5
9,4,13,1
9,1,13,5
9,3,13,2
9,3,13,2
9,3,13,3
9,4,13,5
9,2,13,4
9,7,13,0
9,2,14,8
9,6,14,8
9,2,14,5
9,4,14,10
10,5,14,2
10,5,14,3
10,4,14,8
10,2,14,4
10,2,14,7
10,4,14,2
10,1,14,4
10,9,14,4
10,4,14,4
10,4,14,6
10,8,14,0
10,2,15,2
10,4,15,7
10,4,15,12
10,0,15,10
10,5,15,1
10,4,15,4
10,5,15,4
10,13,15,3
10,16,15,2
10,0,15,6
10,5,15,7
10,3,15,1
10,3,15,1
10,4,16,0
10,2,16,2
10,5,16,0
10,3,16,9
10,5,16,6
10,2,16,4
11,4,16,4
11,4,16,7
11,0,16,6
11,4,16,10
11,6,16,3
11,4,16,0
11,0,16,3
11,3,16,0
11,6,16,5
11,2,16,0
11,4,16,5
11,5,16,6
11,2,16,2
11,4,16,7
11,4,16,6
11,6,16,4
11,6,16,5
11,6,17,4
11,6,17,6
11,5,17,8
11,4,17,6
11,0,17,8
11,4,17,9
11,4,17,1
11,2,17,8
11,5,17,4
11,5,17,10
11,4,17,8
11,1,17,4
11,2,17,8
11,4,17,5
11,1,17,2
11,14,17,8
11,12,17,3
11,6,17,5
11,1,17,5
12,12,17,4
12,4,17,3
12,4,18,2
12,8,18,6
12,4,18,12
12,0,18,6
12,5,18,8
12,5,18,6
12,4,18,1
12,0,18,8
12,4,18,6
12,2,18,1
12,3,18,9
12,2,19,6
12,2,19,7
12,10,19,4
12,6,19,14
12,4,19,6
12,6,19,1
12,2,19,9
12,3,19,7
12,4,19,5
12,1,19,8
12,14,19,2
12,4,19,10
12,3,19,3
12,2,19,3
12,2,19,14
12,4,19,6
12,5,19,3
12,6,19,2
13,0,19,4
13,8,19,13
13,2,19,3
13,1,20,16
13,1,20,1
13,8,20,6
13,5,20,15
13,4,20,14
13,5,20,6
13,4,20,8
13,4,20,1
13,5,20,10
13,2,20,10
13,8,20,5
13,4,20,1
13,11,20,12
13,8,20,8
13,8,20,4
13,4,20,6
13,2,20,14
13,5,20,12
13,6,21,1
13,2,21,3
13,3,21,5
13,2,21,19
13,4,21,2
13,8,21,8
13,4,21,5
13,10,21,14
13,10,21,10
14,6,21,2
14,6,21,7
14,10,21,4
14,5,21,4
14,0,21,16
14,8,21,16
14,8,21,14
14,8,21,5
14,9,21,7
14,8,21,0
14,4,21,2
14,4,21,3
14,0,21,5
14,8,21,3
14,4,21,11
14,4,21,9
14,6,21,4
14,6,22,6
14,6,22,2
14,4,22,12
14,8,22,11
14,4,22,21
14,6,22,12
14,5,22,6
14,5,22,6
14,8,22,7
14,4,22,5
15,9,22,5
15,4,22,0
15,0,22,5
15,6,22,14
15,0,22,5
15,2,22,12
15,9,22,9
15,2,22,10
15,5,23,6
15,4,23,8
15,4,23,8
15,6,23,13
15,10,23,22
15,8,23,3
15,4,23,20
15,8,23,0
15,6,23,6
15,12,23,13
15,8,23,0
15,2,23,12
15,7,23,10
15,2,23,12
15,4,23,2
15,2,23,10
15,2,23,4
15,7,23,8
15,6,23,5
15,9,24,3
15,4,24,3
15,2,24,22
15,17,24,4
15,12,24,21
15,6,24,10
15,4,24,10
15,7,24,4
15,4,24,16
15,2,24,6
16,8,24,6
16,7,24,5
16,6,24,4
16,2,24,1
16,2,24,1
16,4,24,6
16,5,24,14
16,20,24,10
16,8,24,0
16,8,24,17
16,3,24,5
16,8,24,6
16,11,24,3
16,10,24,10
16,2,24,14
16,5,24,7
16,6,24,7
16,9,24,16
16,5,24,5
16,4,25,13
16,1,25,16
16,8,25,6
16,8,25,10
16,10,25,10
17,0,25,12
17,8,25,6
17,4,25,3
17,5,25,7
17,12,25,10
17,12,25,9
17,6,25,2
17,6,25,17
17,6,25,10
17,6,25,4
17,6,25,1
17,6,25,21
17,10,25,5
17,11,25,2
17,0,25,5
17,14,25,4
17,10,25,16
17,6,25,0
17,8,25,5
17,5,25,8
17,8,25,20
17,2,25,13
17,8,25,5
17,18,26,8
17,5,26,9
17,14,26,7
17,6,26,0
17,5,26,14
17,9,26,6
17,19,26,4
17,8,26,5
17,6,26,6
17,13,26,6
17,6,26,9
17,8,26,12
18,9,26,14
18,8,26,22
18,10,26,13
18,8,26,1
18,0,26,1
18,10,26,14
18,7,26,5
18,10,27,16
18,5,27,6
18,5,27,12
18,8,27,11
18,10,27,0
18,0,27,12
18,11,27,6
18,6,27,2
18,4,27,14
18,7,27,6
18,6,27,12
18,8,27,5
18,6,27,12
18,8,27,10
18,11,28,8
18,5,28,5
18,6,28,1
18,6,28,13
18,9,28,10
18,6,28,1
18,10,28,10
18,4,28,20
18,11,28,5
18,10,28,13
18,3,28,6
19,12,28,1
19,2,28,18
19,4,28,8
19,18,28,20
19,10,28,7
19,4,28,8
19,6,28,6
19,4,28,8
19,0,28,18
19,18,28,10
19,4,29,10
19,6,29,18
19,5,29,8
19,10,29,5
19,9,29,17
19,7,29,11
19,10,29,20
19,10,29,9
19,4,29,18
19,14,29,6
19,10,29,9
19,6,29,6
19,3,29,20
19,8,29,1
19,13,29,11
19,6,29,13
19,8,29,11
19,4,29,5
19,10,29,6
19,14,29,9
19,6,29,18
19,10,29,18
19,4,29,2
19,9,29,7
19,6,29,22
19,20,30,12
19,6,30,13
19,8,30,13
19,8,30,1
20,0,30,10
20,11,30,17
20,12,30,2
20,6,30,11
20,8,30,12
20,12,30,8
20,4,30,18
20,4,30,6
20,8,30,2
20,8,30,2
20,13,30,10
20,11,30,17
20,2,30,9
20,14,30,14
20,6,30,8
20,10,30,16
20,5,30,6
20,7,31,10
20,4,31,12
20,6,31,14
20,7,31,14
20,9,31,8
20,8,31,12
20,3,31,12
20,6,31,16
20,3,31,4
20,6,31,6
20,1,31,2
21,14,31,4
21,5,31,19
21,12,31,10
21,1,31,22
21,12,31,6
21,0,31,21
21,6,31,11
21,5,31,20
21,7,31,10
21,6,31,7
21,9,31,6
21,6,31,0
21,12,31,14
21,14,31,12
21,10,31,10
21,13,32,6
21,7,32,4
21,10,32,14
21,13,32,7
21,14,32,7
21,8,32,7
21,12,32,22
21,23,32,14
21,18,32,22
22,10,32,7
22,10,32,9
22,12,32,3
22,11,32,10
22,14,32,8
22,12,32,8
22,12,32,23
22,7,32,20
22,1,32,10
22,8,32,4
22,19,32,10
22,22,33,2
22,8,33,9
22,16,33,11
22,1,33,16
22,4,33,7
22,14,33,4
22,10,33,3
22,1,33,4
22,5,33,7
22,9,33,6
22,16,33,20
22,8,33,5
22,5,33,10
22,4,33,2
22,8,33,21
22,16,33,13
22,10,33,9
22,7,33,5
22,13,33,18
22,10,33,8
22,13,33,8
23,22,33,18
23,14,33,2
23,8,33,8
23,11,34,8
23,12,34,16
23,16,34,9
23,10,34,21
23,0,34,16
23,12,34,22
23,3,34,6
23,21,34,12
